node_id,name,type,attrs_json
170,Clean and Jerk,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
171,Snatch,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
172,Push Jerk,Exercise,"{""primary_muscles"": [""Chest""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
173,Split Jerk,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
174,Hang Snatch,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
175,Power Snatch,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
176,Clean Pull,Exercise,"{""primary_muscles"": [""Lats"", ""Upper Back""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
177,Trap Bar Jump,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
178,Single Leg Romanian Deadlift,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
179,TRX Row,Exercise,"{""primary_muscles"": [""Lats"", ""Upper Back""], ""equipment"": ""Cable Machine"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
180,TRX Single Leg Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
181,BOSU Squat,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
182,Slackline Balance,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Mobility""]}"
183,Single Leg Balance Reach,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Mobility""]}"
